,state,zipcode,1,2,3,4,5,6,wealth,all,wealthy_prop
16081,NJ,7423,360.0,140.0,130.0,130.0,410.0,750.0,1160.0,1920.0,0.6
2417,CA,95014,4540.0,2490.0,1970.0,1840.0,5700.0,10560.0,16260.0,27100.0,0.6
16981,NY,10597,100.0,40.0,30.0,20.0,80.0,210.0,290.0,480.0,0.6
6304,IL,60022,880.0,280.0,200.0,180.0,520.0,1830.0,2350.0,3890.0,0.6
10457,MD,20818,140.0,70.0,70.0,60.0,180.0,320.0,500.0,840.0,0.6
10060,MA,1741,530.0,180.0,160.0,140.0,480.0,1030.0,1510.0,2520.0,0.6
23786,TX,77401,1520.0,610.0,560.0,400.0,1170.0,3500.0,4670.0,7760.0,0.6
16414,NJ,8558,720.0,250.0,270.0,180.0,670.0,1430.0,2100.0,3520.0,0.6
3519,CT,6853,330.0,130.0,130.0,110.0,270.0,790.0,1060.0,1760.0,0.6
10678,MD,21737,180.0,70.0,70.0,60.0,220.0,360.0,580.0,960.0,0.6
23070,TX,75225,1780.0,960.0,910.0,710.0,1710.0,4860.0,6570.0,10930.0,0.6
2325,CA,94556,1260.0,610.0,520.0,520.0,1550.0,2750.0,4300.0,7210.0,0.6
19482,OK,73151,150.0,70.0,50.0,40.0,200.0,270.0,470.0,780.0,0.6
10144,MA,2030,620.0,200.0,180.0,150.0,410.0,1280.0,1690.0,2840.0,0.6
2440,CA,95070,2900.0,1380.0,1180.0,990.0,2850.0,6930.0,9780.0,16230.0,0.6
19088,OH,45174,220.0,80.0,70.0,60.0,250.0,380.0,630.0,1060.0,0.59
3522,CT,6870,640.0,260.0,250.0,200.0,530.0,1450.0,1980.0,3330.0,0.59
3516,CT,6840,1920.0,770.0,570.0,480.0,1370.0,3920.0,5290.0,9030.0,0.59
16410,NJ,8550,1710.0,840.0,650.0,600.0,2080.0,3290.0,5370.0,9170.0,0.59
3539,DC,20004,70.0,90.0,110.0,130.0,360.0,220.0,580.0,980.0,0.59
10244,MA,2421,1660.0,680.0,580.0,480.0,1620.0,3260.0,4880.0,8280.0,0.59
10267,MA,2493,1080.0,430.0,340.0,270.0,680.0,2320.0,3000.0,5120.0,0.59
3511,CT,6820,2070.0,740.0,630.0,470.0,1240.0,4320.0,5560.0,9470.0,0.59
24789,VA,20197,220.0,100.0,80.0,60.0,250.0,400.0,650.0,1110.0,0.59
10469,MD,20854,4530.0,1920.0,1520.0,1310.0,4530.0,8960.0,13490.0,22770.0,0.59
15987,NJ,7028,590.0,260.0,270.0,230.0,650.0,1330.0,1980.0,3330.0,0.59
21491,PA,19085,670.0,210.0,150.0,140.0,360.0,1330.0,1690.0,2860.0,0.59
16000,NJ,7043,1040.0,440.0,430.0,350.0,1100.0,2200.0,3300.0,5560.0,0.59
4155,FL,33473,760.0,440.0,430.0,420.0,1550.0,1450.0,3000.0,5050.0,0.59
23802,TX,77441,1770.0,790.0,650.0,640.0,2710.0,2830.0,5540.0,9390.0,0.59
12797,MO,63005,1880.0,800.0,600.0,500.0,1900.0,3260.0,5160.0,8940.0,0.58
4159,FL,33480,970.0,610.0,500.0,350.0,950.0,2360.0,3310.0,5740.0,0.58
3548,DC,20015,1290.0,750.0,720.0,560.0,1580.0,2980.0,4560.0,7880.0,0.58
158,AL,35223,1000.0,510.0,460.0,330.0,1160.0,1990.0,3150.0,5450.0,0.58
16848,NY,10004,300.0,190.0,230.0,230.0,500.0,800.0,1300.0,2250.0,0.58
24262,TX,78738,2240.0,1250.0,990.0,830.0,2810.0,4510.0,7320.0,12630.0,0.58
12210,MN,55424,1010.0,390.0,310.0,270.0,800.0,1900.0,2700.0,4680.0,0.58
10456,MD,20817,3370.0,1420.0,1280.0,1020.0,3290.0,6550.0,9840.0,16930.0,0.58
2259,CA,94114,2230.0,1940.0,2110.0,1960.0,5120.0,6120.0,11240.0,19480.0,0.58
23333,TX,76034,2420.0,1130.0,910.0,790.0,2810.0,4480.0,7290.0,12540.0,0.58
10264,MA,2481,1700.0,530.0,410.0,290.0,890.0,3130.0,4020.0,6950.0,0.58
10266,MA,2492,2030.0,780.0,690.0,570.0,1750.0,3900.0,5650.0,9720.0,0.58
12871,MO,63124,1040.0,440.0,380.0,360.0,930.0,2140.0,3070.0,5290.0,0.58
3526,CT,6883,940.0,340.0,310.0,290.0,800.0,1820.0,2620.0,4500.0,0.58
1204,AZ,85262,1110.0,570.0,510.0,510.0,1580.0,2220.0,3800.0,6500.0,0.58
2452,CA,95120,3370.0,1580.0,1410.0,1110.0,3440.0,6970.0,10410.0,17880.0,0.58
2343,CA,94582,3620.0,1790.0,1530.0,1280.0,3880.0,7320.0,11200.0,19420.0,0.58
16094,NJ,7452,1020.0,480.0,430.0,350.0,1260.0,1880.0,3140.0,5420.0,0.58
1205,AZ,85263,200.0,140.0,150.0,170.0,510.0,400.0,910.0,1570.0,0.58
2319,CA,94549,2460.0,1210.0,1130.0,1010.0,2850.0,5200.0,8050.0,13860.0,0.58
2344,CA,94583,3550.0,1960.0,1800.0,1700.0,5010.0,7200.0,12210.0,21220.0,0.58
24746,VA,20105,2190.0,1270.0,1200.0,1190.0,4190.0,3590.0,7780.0,13630.0,0.57
2378,CA,94708,970.0,630.0,500.0,470.0,1340.0,2050.0,3390.0,5960.0,0.57
10076,MA,1776,1960.0,780.0,520.0,460.0,1580.0,3310.0,4890.0,8610.0,0.57
25800,WA,98040,2290.0,1250.0,1150.0,910.0,2440.0,4860.0,7300.0,12900.0,0.57
10454,MD,20815,2410.0,1400.0,1330.0,1160.0,2950.0,5280.0,8230.0,14530.0,0.57
1207,AZ,85266,1040.0,520.0,440.0,450.0,1420.0,1790.0,3210.0,5660.0,0.57
1633,CA,91436,1710.0,930.0,730.0,600.0,1650.0,3630.0,5280.0,9250.0,0.57
16863,NY,10022,2490.0,1740.0,2160.0,1920.0,4470.0,6340.0,10810.0,19120.0,0.57
24833,VA,22213,220.0,160.0,180.0,160.0,440.0,530.0,970.0,1690.0,0.57
1491,CA,90274,2450.0,1260.0,1060.0,820.0,2540.0,4790.0,7330.0,12920.0,0.57
24830,VA,22207,2600.0,1420.0,1390.0,1020.0,2820.0,5840.0,8660.0,15090.0,0.57
22782,TN,38139,1500.0,620.0,570.0,550.0,1960.0,2310.0,4270.0,7510.0,0.57
10072,MA,1770,450.0,170.0,160.0,120.0,390.0,810.0,1200.0,2100.0,0.57
2242,CA,94070,2530.0,1530.0,1440.0,1180.0,3120.0,5840.0,8960.0,15640.0,0.57
16931,NY,10506,600.0,220.0,210.0,150.0,430.0,1150.0,1580.0,2760.0,0.57
12878,MO,63131,1750.0,760.0,640.0,550.0,1690.0,3230.0,4920.0,8620.0,0.57
16974,NY,10583,3620.0,1630.0,1530.0,1280.0,3250.0,7470.0,10720.0,18780.0,0.57
2312,CA,94539,4460.0,2420.0,1980.0,1650.0,4800.0,8940.0,13740.0,24250.0,0.57
2304,CA,94526,2930.0,1520.0,1380.0,1230.0,3760.0,5470.0,9230.0,16290.0,0.57
17000,NY,10804,1410.0,620.0,600.0,490.0,1490.0,2570.0,4060.0,7180.0,0.57
16245,NJ,7945,990.0,390.0,330.0,280.0,850.0,1780.0,2630.0,4620.0,0.57
1935,CA,92657,900.0,450.0,360.0,300.0,800.0,1900.0,2700.0,4710.0,0.57
2275,CA,94158,570.0,620.0,550.0,430.0,1310.0,1580.0,2890.0,5060.0,0.57
16236,NJ,7928,1780.0,770.0,710.0,590.0,1560.0,3500.0,5060.0,8910.0,0.57
3529,CT,6897,1780.0,740.0,620.0,470.0,1540.0,3180.0,4720.0,8330.0,0.57
17059,NY,11030,1810.0,770.0,670.0,530.0,1430.0,3540.0,4970.0,8750.0,0.57
2284,CA,94404,2670.0,1840.0,1710.0,1550.0,4650.0,5520.0,10170.0,17940.0,0.57
10074,MA,1773,570.0,250.0,230.0,210.0,570.0,1080.0,1650.0,2910.0,0.57
24795,VA,22027,200.0,100.0,80.0,70.0,220.0,370.0,590.0,1040.0,0.57
2253,CA,94107,2090.0,2120.0,1870.0,1660.0,4980.0,5300.0,10280.0,18020.0,0.57
3574,DE,19807,780.0,400.0,390.0,320.0,820.0,1670.0,2490.0,4380.0,0.57
1464,CA,90077,770.0,360.0,330.0,240.0,680.0,1600.0,2280.0,3980.0,0.57
10077,MA,1778,1320.0,600.0,530.0,410.0,1390.0,2430.0,3820.0,6680.0,0.57
10243,MA,2420,1470.0,620.0,520.0,430.0,1390.0,2640.0,4030.0,7070.0,0.57
16444,NJ,8738,80.0,50.0,40.0,40.0,130.0,150.0,280.0,490.0,0.57
16154,NJ,7677,600.0,280.0,220.0,190.0,580.0,1130.0,1710.0,3000.0,0.57
1490,CA,90272,2120.0,950.0,830.0,680.0,1770.0,4200.0,5970.0,10550.0,0.57
24811,VA,22124,1600.0,810.0,730.0,710.0,1910.0,2900.0,4810.0,8660.0,0.56
4339,FL,33957,560.0,390.0,260.0,260.0,740.0,1140.0,1880.0,3350.0,0.56
24820,VA,22182,2490.0,1150.0,1040.0,870.0,2840.0,4280.0,7120.0,12670.0,0.56
1921,CA,92625,1090.0,630.0,600.0,480.0,1220.0,2340.0,3560.0,6360.0,0.56
8286,KS,66221,2410.0,950.0,720.0,540.0,2400.0,3420.0,5820.0,10440.0,0.56
17241,NY,11765,50.0,40.0,20.0,30.0,50.0,130.0,180.0,320.0,0.56
16953,NY,10538,1570.0,710.0,740.0,570.0,1240.0,3340.0,4580.0,8170.0,0.56
8569,KS,67228,200.0,80.0,70.0,90.0,340.0,230.0,570.0,1010.0,0.56
25837,WA,98121,1230.0,1460.0,1420.0,1130.0,3860.0,2910.0,6770.0,12010.0,0.56
21478,PA,19066,580.0,200.0,190.0,150.0,420.0,980.0,1400.0,2520.0,0.56
16934,NY,10510,940.0,460.0,440.0,320.0,1000.0,1770.0,2770.0,4930.0,0.56
6545,IL,60558,1390.0,530.0,470.0,400.0,1360.0,2220.0,3580.0,6370.0,0.56
3525,CT,6880,2810.0,1140.0,880.0,830.0,1980.0,5210.0,7190.0,12850.0,0.56
16929,NY,10504,870.0,380.0,310.0,240.0,620.0,1680.0,2300.0,4100.0,0.56
10251,MA,2459,1830.0,830.0,700.0,520.0,1550.0,3290.0,4840.0,8720.0,0.56
16157,NJ,7704,640.0,230.0,190.0,170.0,520.0,1070.0,1590.0,2820.0,0.56
10217,MA,2210,310.0,370.0,490.0,400.0,900.0,1090.0,1990.0,3560.0,0.56
10216,MA,2199,100.0,90.0,110.0,80.0,190.0,300.0,490.0,870.0,0.56
2434,CA,95054,1730.0,1550.0,1210.0,970.0,3250.0,3800.0,7050.0,12510.0,0.56
6317,IL,60045,2170.0,940.0,710.0,590.0,1670.0,3960.0,5630.0,10040.0,0.56
2247,CA,94087,4390.0,2820.0,2210.0,2000.0,5460.0,9120.0,14580.0,26000.0,0.56
24256,TX,78732,1510.0,690.0,630.0,460.0,1660.0,2500.0,4160.0,7450.0,0.56
2234,CA,94043,2120.0,1900.0,1610.0,1290.0,3700.0,5140.0,8840.0,15760.0,0.56
24768,VA,20148,4540.0,2410.0,2190.0,2020.0,6970.0,7250.0,14220.0,25380.0,0.56
21432,PA,18977,430.0,200.0,170.0,190.0,560.0,690.0,1250.0,2240.0,0.56
16038,NJ,7090,2830.0,1210.0,1140.0,920.0,2600.0,5200.0,7800.0,13900.0,0.56
2884,CO,80007,1460.0,840.0,720.0,690.0,2650.0,1990.0,4640.0,8350.0,0.56
6519,IL,60521,1850.0,660.0,590.0,460.0,1260.0,3290.0,4550.0,8110.0,0.56
3524,CT,6878,800.0,330.0,330.0,180.0,480.0,1570.0,2050.0,3690.0,0.56
10265,MA,2482,1100.0,410.0,370.0,280.0,870.0,1920.0,2790.0,4950.0,0.56
16928,NY,10502,540.0,270.0,210.0,230.0,650.0,930.0,1580.0,2830.0,0.56
1196,AZ,85253,1510.0,890.0,710.0,490.0,1160.0,3500.0,4660.0,8260.0,0.56
10061,MA,1742,1770.0,760.0,710.0,600.0,1750.0,3110.0,4860.0,8700.0,0.56
1506,CA,90402,1060.0,510.0,430.0,370.0,860.0,2100.0,2960.0,5330.0,0.56
1488,CA,90266,3120.0,1600.0,1450.0,1310.0,3300.0,6250.0,9550.0,17030.0,0.56
22521,TN,37350,230.0,70.0,70.0,60.0,200.0,350.0,550.0,980.0,0.56
2215,CA,93953,350.0,200.0,210.0,190.0,520.0,670.0,1190.0,2140.0,0.56
14666,NC,28207,780.0,440.0,460.0,280.0,580.0,1920.0,2500.0,4460.0,0.56
16969,NY,10576,510.0,250.0,190.0,170.0,490.0,900.0,1390.0,2510.0,0.55
25807,WA,98053,1730.0,1120.0,930.0,750.0,2170.0,3450.0,5620.0,10150.0,0.55
2238,CA,94062,2190.0,1520.0,1300.0,1030.0,2510.0,4830.0,7340.0,13380.0,0.55
25813,WA,98065,1200.0,810.0,630.0,510.0,1780.0,2030.0,3810.0,6960.0,0.55
16862,NY,10021,2930.0,2070.0,2620.0,2470.0,4800.0,7310.0,12110.0,22200.0,0.55
16857,NY,10014,2210.0,1690.0,2010.0,1980.0,4560.0,5110.0,9670.0,17560.0,0.55
25818,WA,98077,1290.0,660.0,490.0,410.0,1360.0,2120.0,3480.0,6330.0,0.55
9985,MA,1451,540.0,250.0,190.0,160.0,630.0,790.0,1420.0,2560.0,0.55
16093,NJ,7450,2300.0,1020.0,850.0,790.0,2230.0,3930.0,6160.0,11120.0,0.55
16973,NY,10580,1810.0,720.0,640.0,510.0,1180.0,3390.0,4570.0,8250.0,0.55
10059,MA,1740,540.0,250.0,190.0,190.0,640.0,810.0,1450.0,2620.0,0.55
2257,CA,94111,440.0,360.0,250.0,220.0,650.0,880.0,1530.0,2800.0,0.55
17181,NY,11576,1350.0,610.0,510.0,420.0,1130.0,2370.0,3500.0,6390.0,0.55
16391,NJ,8502,1040.0,510.0,440.0,380.0,1160.0,1680.0,2840.0,5210.0,0.55
1465,CA,90094,690.0,510.0,570.0,510.0,1350.0,1390.0,2740.0,5020.0,0.55
17053,NY,11005,150.0,140.0,160.0,180.0,470.0,310.0,780.0,1410.0,0.55
8271,KS,66206,960.0,490.0,450.0,400.0,1350.0,1510.0,2860.0,5160.0,0.55
3322,CT,6092,430.0,160.0,140.0,140.0,520.0,540.0,1060.0,1930.0,0.55
22989,TX,75078,3040.0,1560.0,1190.0,1160.0,4560.0,4090.0,8650.0,15600.0,0.55
2335,CA,94568,4890.0,3200.0,2680.0,2400.0,7360.0,8750.0,16110.0,29280.0,0.55
10679,MD,21738,360.0,160.0,110.0,100.0,370.0,530.0,900.0,1630.0,0.55
1566,CA,91011,1940.0,910.0,760.0,650.0,1720.0,3500.0,5220.0,9480.0,0.55
3527,CT,6890,470.0,210.0,180.0,130.0,380.0,840.0,1220.0,2210.0,0.55
24834,VA,22301,900.0,780.0,870.0,710.0,1940.0,2040.0,3980.0,7240.0,0.55
2369,CA,94618,1270.0,910.0,960.0,790.0,2030.0,2810.0,4840.0,8770.0,0.55
10109,MA,1890,2110.0,950.0,860.0,690.0,1930.0,3810.0,5740.0,10350.0,0.55
24828,VA,22205,1430.0,910.0,830.0,600.0,1790.0,2770.0,4560.0,8330.0,0.55
10503,MD,21029,1340.0,540.0,410.0,350.0,1320.0,1910.0,3230.0,5870.0,0.55
3532,CT,6903,1450.0,680.0,610.0,460.0,1420.0,2530.0,3950.0,7150.0,0.55
25772,WA,98004,2900.0,2180.0,1970.0,1670.0,4730.0,5840.0,10570.0,19290.0,0.55
2377,CA,94707,1180.0,710.0,710.0,580.0,1560.0,2260.0,3820.0,7000.0,0.55
10165,MA,2108,350.0,230.0,270.0,240.0,470.0,870.0,1340.0,2430.0,0.55
2424,CA,95032,2340.0,1350.0,1140.0,1050.0,2540.0,4730.0,7270.0,13150.0,0.55
24268,TX,78746,2420.0,1410.0,1270.0,890.0,2280.0,5190.0,7470.0,13460.0,0.55
8285,KS,66220,790.0,380.0,320.0,280.0,1170.0,1030.0,2200.0,3970.0,0.55
8288,KS,66224,1360.0,550.0,470.0,410.0,1440.0,1980.0,3420.0,6210.0,0.55
2399,CA,94941,2820.0,1590.0,1380.0,1180.0,3000.0,5210.0,8210.0,15180.0,0.54
16949,NY,10533,680.0,380.0,350.0,310.0,770.0,1230.0,2000.0,3720.0,0.54
2356,CA,94598,2290.0,1440.0,1400.0,1160.0,3480.0,3820.0,7300.0,13590.0,0.54
16105,NJ,7481,1660.0,710.0,700.0,580.0,1710.0,2570.0,4280.0,7930.0,0.54
2232,CA,94040,2650.0,2040.0,1780.0,1260.0,3610.0,5450.0,9060.0,16790.0,0.54
16097,NJ,7458,1210.0,540.0,410.0,350.0,880.0,2070.0,2950.0,5460.0,0.54
7649,IN,46290,20.0,40.0,0.0,0.0,20.0,50.0,70.0,130.0,0.54
2280,CA,94306,2380.0,1520.0,1340.0,990.0,2610.0,4610.0,7220.0,13450.0,0.54
24757,VA,20124,1420.0,740.0,610.0,490.0,1770.0,2010.0,3780.0,7040.0,0.54
